date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:05	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/browse/finance/PaypalFinancingLandingPage	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/browse/finance/PaypalFinancingLandingPage	(from https://www.apple.com/uk/)
19:28:05	115103/115103	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:04%20GMT	https://www.apple.com/uk/apple-pay/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/apple-pay/index.html	(from https://www.apple.com/uk/)
19:28:05	108376/108376	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:04%20GMT	https://www.apple.com/uk/icloud/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/icloud/index.html	(from https://www.apple.com/uk/)
19:28:05	84272/84272	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:04%20GMT	https://www.apple.com/uk/apple-one/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/apple-one/index.html	(from https://www.apple.com/uk/)
19:28:05	70138/70138	---M-Z	200	added ('OK')	text/html	etag:%22ed639db835baf780a2baa9c7155eebd3%22	https://www.apple.com/uk/shop/browse/financing	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/browse/financing.html	(from https://www.apple.com/uk/)
19:28:05	0/-1	---M--	303	error ('See%20Other')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/goto/trade_in	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/goto/trade_in	(from https://www.apple.com/uk/)
19:28:06	51608/51608	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:05%20GMT	https://www.apple.com/uk/apple-books/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/apple-books/index.html	(from https://www.apple.com/uk/)
19:28:06	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/go/trade_in	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/go/trade_in	(from https://www.apple.com/uk/)
19:28:06	147380/147380	---M-Z	200	added ('OK')	text/html	etag:%227c2f3edf837b8f048569eb494d34d085%22	https://www.apple.com/uk/shop/trade-in	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/trade-in.html	(from https://www.apple.com/uk/)
19:28:06	0/-1	---M--	303	error ('See%20Other')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/goto/order/list	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/goto/order/list.23.delayed	(from https://www.apple.com/uk/)
19:28:06	124862/124862	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:05%20GMT	https://www.apple.com/uk/apple-podcasts/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/apple-podcasts/index.html	(from https://www.apple.com/uk/)
19:28:06	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/go/order/list	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/go/order/list	(from https://www.apple.com/uk/)
19:28:07	0/-1	---M--	303	error ('See%20Other')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/goto/help	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/goto/help	(from https://www.apple.com/uk/)
19:28:07	163071/163071	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:06%20GMT	https://www.apple.com/uk/app-store/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/app-store/index.html	(from https://www.apple.com/uk/)
19:28:07	146185/146185	---M-Z	200	added ('OK')	text/html	etag:W/%2210jpdfqmfp734m8%22	https://www.apple.com/uk/retail/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/retail/index.html	(from https://www.apple.com/uk/)
19:28:07	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/go/help	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/go/help.26.delayed	(from https://www.apple.com/uk/)
19:28:07	45207/45207	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:06%20GMT	https://www.apple.com/uk/retail/geniusbar/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/retail/geniusbar/index.html	(from https://www.apple.com/uk/)
19:28:07	91578/91578	---M-Z	200	added ('OK')	text/html	etag:%2226e24dbaa9c3e01656a3cf47fce24d1c%22	https://www.apple.com/uk/shop/help	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/help.html	(from https://www.apple.com/uk/)
19:28:07	242704/242704	---M-Z	200	added ('OK')	text/html	etag:W/%223b410-9He4fxp0FQcwgUQjDVsK/JZCIwc%22	https://www.apple.com/uk/today/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/today/index.html	(from https://www.apple.com/uk/)
19:28:08	0/-1	---M--	303	error ('See%20Other')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/goto/educationrouting	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/goto/educationrouting	(from https://www.apple.com/uk/)
19:28:08	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/go/educationrouting	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/go/educationrouting	(from https://www.apple.com/uk/)
19:28:08	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/education-pricing	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/education-pricing	(from https://www.apple.com/uk/)
19:28:08	271/271	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Sep%202022%2018:28:07%20GMT	https://www.apple.com/uk/legal/terms/site.html	D:/user%20files/Documents/Project/apple/www.apple.com/uk/legal/terms/site.2b.delayed	(from https://www.apple.com/uk/)
19:28:08	70423/70423	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:07%20GMT	https://www.apple.com/uk/retail/business/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/retail/business/index.html	(from https://www.apple.com/uk/)
19:28:08	242471/242471	---M-Z	200	added ('OK')	text/html	etag:W/%223b327-sj4kuhvYJ7JdXTaTmc6hLQE0cig%22	https://www.apple.com/uk/today/camp/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/today/camp/index.html	(from https://www.apple.com/uk/)
19:28:09	61421/61421	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:08%20GMT	https://www.apple.com/uk/legal/internet-services/terms/site.html	D:/user%20files/Documents/Project/apple/www.apple.com/uk/legal/internet-services/terms/site.html	(from https://www.apple.com/uk/)
19:28:09	48092/48092	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:08%20GMT	https://www.apple.com/uk/education/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/education/index.html	(from https://www.apple.com/uk/)
19:28:09	0/-1	---M--	303	error ('See%20Other')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/goto/help/sales_refunds	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/goto/help/sales_refunds	(from https://www.apple.com/uk/)
19:28:09	76523/76523	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:08%20GMT	https://www.apple.com/uk/business/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/business/index.html	(from https://www.apple.com/uk/)
19:28:09	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/go/help/sales_refunds	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/go/help/sales_refunds	(from https://www.apple.com/uk/)
19:28:09	113248/113248	---M-Z	200	added ('OK')	text/html	etag:%222e6fc43af85e628beb36bf0acec1a8a2%22	https://www.apple.com/uk/shop/browse/open/salespolicies	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/browse/open/salespolicies.html	(from https://www.apple.com/uk/)
19:28:09	6983/6983	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2013%20Sep%202022%2018:28:09%20GMT	https://www.apple.com/ac/globalfooter/7/en_GB/scripts/ac-globalfooter.built.js	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalfooter/7/en_GB/scripts/ac-globalfooter.built.js	(from https://www.apple.com/uk/)
19:28:10	192491/192491	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2013%20Sep%202022%2018:28:09%20GMT	https://www.apple.com/ac/localeswitcher/4/en_GB/scripts/localeswitcher.built.js	D:/user%20files/Documents/Project/apple/www.apple.com/ac/localeswitcher/4/en_GB/scripts/localeswitcher.built.js	(from https://www.apple.com/uk/)
19:28:10	91941/91941	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2013%20Sep%202022%2018:28:09%20GMT	https://www.apple.com/uk/home/built/scripts/main.built.js	D:/user%20files/Documents/Project/apple/www.apple.com/uk/home/built/scripts/main.built.js	(from https://www.apple.com/uk/)
19:28:10	50257/50257	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:09%20GMT	https://www.apple.com/uk/healthcare/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/healthcare/index.html	(from https://www.apple.com/uk/)
